num,sample_id,psu,strata,sub_national,governorate,enum_area,oslo_area,name
1,gaza_1,um_nnaser,um_nnaser,Gaza,,,,
2,gaza_2,beit_lahiya,beit_lahiya,Gaza,,,,
3,gaza_3,beit_hanun,beit_hanun,Gaza,,,,
4,gaza_4,jabalya_camp,jabalya_camp,Gaza,,,,
5,gaza_5,jabalya,jabalya,Gaza,,,,
6,gaza_6,shati_camp,shati_camp,Gaza,,,,
7,gaza_7,gaza,gaza,Gaza,,,,
8,gaza_8,madinat_ezahra,madinat_ezahra,Gaza,,,,
9,gaza_9,al_mughraqa,al_mughraqa,Gaza,,,,
10,gaza_10,juhor_dik,juhor_dik,Gaza,,,,
11,gaza_11,nuseirat_camp,nuseirat_camp,Gaza,,,,
12,gaza_12,nuseirat,nuseirat,Gaza,,,,
13,gaza_13,bureij_camp,bureij_camp,Gaza,,,,
14,gaza_14,bureij,bureij,Gaza,,,,
15,gaza_15,zawayda,zawayda,Gaza,,,,
16,gaza_16,deir_balah_camp,deir_balah_camp,Gaza,,,,
17,gaza_17,maghazi_camp,maghazi_camp,Gaza,,,,
18,gaza_18,maghazi,maghazi,Gaza,,,,
19,gaza_19,deir_balah,deir_balah,Gaza,,,,
20,gaza_20,musaddar,musaddar,Gaza,,,,
21,gaza_21,wadi_salqa,wadi_salqa,Gaza,,,,
22,gaza_22,qarara,qarara,Gaza,,,,
23,gaza_23,khan_yunis_camp,khan_yunis_camp,Gaza,,,,
24,gaza_24,khan_yunis,khan_yunis,Gaza,,,,
25,gaza_25,bani_suheila,bani_suheila,Gaza,,,,
26,gaza_26,basan_jadida,basan_jadida,Gaza,,,,
27,gaza_27,basan_kabira,basan_kabira,Gaza,,,,
28,gaza_28,khuzaa,khuzaa,Gaza,,,,
29,gaza_29,fukhari,fukhari,Gaza,,,,
30,gaza_30,rafah,rafah,Gaza,,,,
31,gaza_31,rafah_camp,rafah_camp,Gaza,,,,
32,gaza_32,nnaser,nnaser,Gaza,,,,
33,gaza_33,shokat,shokat,Gaza,,,,
34,id_103,401990034,EJ,EJ,EJ,,,
35,id_104,401990035,EJ,EJ,EJ,,,
36,id_115,401990046,EJ,EJ,EJ,,,
37,id_128,401990059,EJ,EJ,EJ,,,
38,id_138,402030007,EJ,EJ,EJ,,,
39,id_141,402030010,EJ,EJ,EJ,,,
40,id_157,402035006,EJ,EJ,EJ,,,
41,id_158,402035007,EJ,EJ,EJ,,,
42,id_160,402035009,EJ,EJ,EJ,,,
43,id_201,402050005,EJ,EJ,EJ,,,
44,id_213,402050017,EJ,EJ,EJ,,,
45,id_25,401875025,EJ,EJ,EJ,,,
46,id_250,402085002,EJ,EJ,EJ,,,
47,id_253,402085005,EJ,EJ,EJ,,,
48,id_254,402085006,EJ,EJ,EJ,,,
49,id_265,402085017,EJ,EJ,EJ,,,
50,id_31,401875031,EJ,EJ,EJ,,,
51,id_324,402095001,EJ,EJ,EJ,,,
52,id_33,401875033,EJ,EJ,EJ,,,
53,id_330,402095007,EJ,EJ,EJ,,,
54,id_343,402105010,EJ,EJ,EJ,,,
55,id_352,402105019,EJ,EJ,EJ,,,
56,id_366,402110010,EJ,EJ,EJ,,,
57,id_370,402110014,EJ,EJ,EJ,,,
58,id_382,402115004,EJ,EJ,EJ,,,
59,id_407,402130016,EJ,EJ,EJ,,,
60,id_416,402135005,EJ,EJ,EJ,,,
61,id_427,402140005,EJ,EJ,EJ,,,
62,id_451,402155012,EJ,EJ,EJ,,,
63,id_46,401875046,EJ,EJ,EJ,,,
64,id_5,401875005,EJ,EJ,EJ,,,
65,id_53,401875053,EJ,EJ,EJ,,,
66,id_72,401990003,EJ,EJ,EJ,,,
67,id_99,401990030,EJ,EJ,EJ,,,
68,id_1108,100645,Area_AB,West Bank,Tulkarem,85,2,
69,id_1137,100645,Area_AB,West Bank,Tulkarem,107,1,
70,id_1316,150820,Area_AB,West Bank,Nablus,13,2,
71,id_1317,150820,Area_AB,West Bank,Nablus,14,2,
72,id_1419,150920,Area_AB,West Bank,Nablus,53,1,
73,id_1424,150920,Area_AB,West Bank,Nablus,58,1,
74,id_1534,150920,Area_AB,West Bank,Nablus,157,1,
75,id_1561,150920,Area_AB,West Bank,Nablus,184,1,
76,id_1591,150920,Area_AB,West Bank,Nablus,212,1,
77,id_1972,151385,Area_AB,West Bank,Nablus,2,2,
78,id_2019,200945,Area_AB,West Bank,Qalqilya,3,2,
79,id_2092,201040,Area_AB,West Bank,Qalqilya,36,1,
80,id_2174,201085,Area_AB,West Bank,Qalqilya,3,2,
81,id_314,10185,Area_AB,West Bank,Jenin,12,1,
82,id_3587,401950,Area_AB,West Bank,Jerusalem(j2),4,2,
83,id_3765,402040,Area_AB,West Bank,Jerusalem(j2),28,2,
84,id_379,10265,Area_AB,West Bank,Jenin,9,2,
85,id_3946,452180,Area_AB,West Bank,Bethlehem,14,1,
