stratum,population
Area_A_B,465191
Bethlehem_Area_C,6158
H2,7713
Hebron_Area_C,12090
Jenin_Area_C,4123
Jericho_Area_C,1121
Jerusalem(j2)_Area_C,7584
Nablus_Area_C,2404
Qalqilya_Area_C,2594
Ramallah_Area_C,5432
Salfit_Area_C,1873
Tubas_Area_C,336
Tulkarem_Area_C,3501
WB_Camps,20860
Um Al-Nnaser (Al Qaraya al Badawiya),940
Beit Lahiya,17809
Beit Hanun,10356
Jabalya Camp,9806
Jabalya,34236
Ash Shati' Camp,7814
Gaza,113260
Madinat Ezahra,1025
Al Mughraqa,2199
Juhor ad Dik,881
An Nuseirat Camp,6392
An Nuseirat,11044
Al Bureij Camp,5643
Al Bureij,3120
Az Zawayda,4801
Deir al Balah Camp,1407
Al Maghazi Camp,3656
Al Maghazi,1948
Deir al Balah,15127
Al Musaddar,522
Wadi as Salqa,1353
Al Qarara,5888
Khan Yunis Camp,8359
Khan Yunis,41632
Bani Suheila,8411
A’basan al Jadida,1886
A’basan al Kabira,5434
Khuza'a,2312
Al Fukhkhari,1309
Rafah,34141
Rafah Camp,7260
Al-Nnaser,1785
Al Shokat,3267
EJ,66186
