"dependent.var","independent.var.value","numbers","repeat.var","Area","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1","Households without disability",0.38931008080451,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.115504230490355,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",12,"10% - 19%","HHs with school-aged children"
"e_1","Households without disability",0.371007317439285,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.270491803278689,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",27,"20% - 29%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.37324969101329,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.369713615231619,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Male headed households",0.339454250511726,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1","Male headed households",0.398331090565207,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1","Female headed households",0.118335380611676,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",12,"10% - 19%","HHs with school-aged children"
"e_1","Female headed households",0.212400923283382,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",21,"20% - 29%","HHs with school-aged children"
