"dependent.var","numbers","repeat.var","Area","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1",0.366197183098592,"strata","Salfit Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1",0.221153846153846,"strata","Area_AB","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",22,"20% - 29%","HHs with school-aged children"
"e_1",0.225274725274725,"strata","Bethlehem Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1",0.364532019704433,"strata","Hebron Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1",0.350467289719626,"strata","Jenin Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1",0.396551724137931,"strata","Jericho Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1",0.411764705882353,"strata","Jerusalem_2 Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1",0.246376811594203,"strata","Nablus Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",25,"20% - 29%","HHs with school-aged children"
"e_1",0.327014218009479,"strata","Qalqilya Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1",0.354497354497355,"strata","Ramallah Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1",0.366666666666667,"strata","H2","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1",0.397905759162304,"strata","Tubas Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
