"dependent.var","numbers","repeat.var","repeat.var.value","Indicator Group / Sector","research.question","sub.research.question"
"aap1",0.1192219842351,"governorate_wb","hebron","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.248559037151713,"governorate_wb","jenin","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.258620689655172,"governorate_wb","jericho","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.089676222621159,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.126798888943174,"governorate_wb","nablus","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.183218683409712,"governorate_wb","qalqiliya","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.142857142857143,"governorate_wb","ramallah","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.0751173708920188,"governorate_wb","salfit","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.0851458353807402,"governorate_wb","bethlehem","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.964882529316849,"governorate_wb","tubas","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1",0.0137425197214634,"governorate_wb","tulkarm","AAP","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months"
"aap1_a",NA,"governorate_wb","ramallah","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","salfit","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","nablus","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","qalqiliya","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","bethlehem","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","hebron","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","tubas","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","tulkarm","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","jenin","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap1_a",NA,"governorate_wb","jericho","AAP","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza"
"aap10",0.00745791595642262,"governorate_wb","qalqiliya","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.212121212121212,"governorate_wb","tulkarm","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.222222222222222,"governorate_wb","ramallah","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0,"governorate_wb","salfit","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.0022747244882244,"governorate_wb","tubas","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
