"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh5_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh5_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh5_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh5_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh5_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh5_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh5_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh5_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh5_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh5_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh6_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh6_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh6_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh6_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh6_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh8",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh8",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh8",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh8",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh8",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh10",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh10",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh10",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh10",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh10",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hh12",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hh12",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hh12",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hh12",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hh12",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hhd1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hhd1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hhd1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hhd1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hhd1",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hhd2",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hhd2",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hhd2",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hhd2",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hhd2",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"hhd3",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"hhd3",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"hhd3",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"hhd3",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"hhd3",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"f1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"f1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"f1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"f1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"f1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"f1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"f1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"f1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"f1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"f1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"f1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"f1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"f1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"f1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"f1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl1_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl1_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl1_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_i",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_ii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_iii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_iv",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_iv",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_iv",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_iv",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_iv",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_v",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_v",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_v",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_v",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_v",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_vi",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
"fl2_vi",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","deir_balah"
"fl2_vi",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","gaza"
"fl2_vi",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","rafah"
"fl2_vi",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","north_gaza"
"fl2_vii",NA,NA,NA,NA,NA,NA,NA,"governorate_gaza","khan_yunis"
