"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","gender_disagg",NA,"male_headed",0.477852947402512,NA,0.44571681450896,0.509989080296063,NA,NA
"hh1","gender_disagg",NA,"female_headed",0.840594978350743,NA,0.77886132181799,0.902328634883496,NA,NA
"hh5_i","gender_disagg",NA,"male_headed",0.440879113024466,NA,0.405005676098735,0.476752549950196,NA,NA
"hh5_i","gender_disagg",NA,"female_headed",0.95247334714063,NA,0.928001886680517,0.976944807600742,NA,NA
"hh5_ii","gender_disagg",NA,"male_headed",0.559120886975534,NA,0.523247450049804,0.594994323901265,NA,NA
"hh5_ii","gender_disagg",NA,"female_headed",0.0475266528593705,NA,0.0230551923992579,0.071998113319483,NA,NA
"hh6_i","gender_disagg",NA,"male_headed",0,NA,0,0,NA,NA
"hh6_i","gender_disagg",NA,"female_headed",1,NA,1,1,NA,NA
"hh8","gender_disagg",NA,"male_headed",0.494203246709193,NA,0.432040070822947,0.556366422595439,NA,NA
"hh8","gender_disagg",NA,"female_headed",0.405312597444318,NA,0.28987962748277,0.520745567405867,NA,NA
"hh10","gender_disagg",NA,"male_headed",0.148878639444889,NA,0.127990203907949,0.169767074981829,NA,NA
"hh10","gender_disagg",NA,"female_headed",0.0574398641980435,NA,0.0341615684437626,0.0807181599523245,NA,NA
"hh12","gender_disagg",NA,"male_headed",0.456586111655404,NA,0.420415879028519,0.492756344282289,NA,NA
"hh12","gender_disagg",NA,"female_headed",0.616281813013107,NA,0.547292400164669,0.685271225861545,NA,NA
"hhd1","gender_disagg",NA,"male_headed",0.0877264780917063,NA,0.0687144717747283,0.106738484408684,NA,NA
"hhd1","gender_disagg",NA,"female_headed",0.100482706172562,NA,0.0502130713240681,0.150752341021056,NA,NA
"hhd2","gender_disagg",NA,"male_headed",0.218163278229779,NA,0.192425668431283,0.243900888028274,NA,NA
"hhd2","gender_disagg",NA,"female_headed",0.17191735449583,NA,0.116548324703761,0.227286384287898,NA,NA
"hhd3","gender_disagg",NA,"male_headed",0.00554517814078576,NA,0.00224021018690357,0.00885014609466795,NA,NA
"hhd3","gender_disagg",NA,"female_headed",0.00325852205501978,NA,-0.00074636542073661,0.00726340953077617,NA,NA
"f1_i","gender_disagg",NA,"male_headed",0.00269758745011882,NA,0.000445569740464672,0.00494960515977296,NA,NA
"f1_i","gender_disagg",NA,"female_headed",0.00284246838916428,NA,0.000276131811495937,0.00540880496683263,NA,NA
"f1_ii","gender_disagg",NA,"male_headed",0.0458341162496977,NA,0.0275836212536645,0.0640846112457309,NA,NA
"f1_ii","gender_disagg",NA,"female_headed",0.0835860607285061,NA,0.0315290596494989,0.135643061807513,NA,NA
"f1_iii","gender_disagg",NA,"male_headed",0.951468296300183,NA,0.932935517200026,0.970001075400341,NA,NA
"f1_iii","gender_disagg",NA,"female_headed",0.91357147088233,NA,0.861234723106553,0.965908218658107,NA,NA
"fl1_i","gender_disagg",NA,"male_headed",0.49100820919008,NA,0.429173978820225,0.552842439559935,NA,NA
"fl1_i","gender_disagg",NA,"female_headed",0.394270818349234,NA,0.283798690585028,0.50474294611344,NA,NA
"fl1_ii","gender_disagg",NA,"male_headed",0.146489670725615,NA,0.117605624899165,0.175373716552066,NA,NA
"fl1_ii","gender_disagg",NA,"female_headed",0.125934304668532,NA,0.0668791464382236,0.18498946289884,NA,NA
"fl1_iii","gender_disagg",NA,"male_headed",0.112377652285321,NA,0.0824831905988415,0.142272113971801,NA,NA
"fl1_iii","gender_disagg",NA,"female_headed",0.0993915216623258,NA,0.0607963330625014,0.13798671026215,NA,NA
"fl2_i","gender_disagg",NA,"male_headed",0.0819207913548387,NA,0.0602234671596099,0.103618115550068,NA,NA
"fl2_i","gender_disagg",NA,"female_headed",0.0524341894481423,NA,0.0214869698503149,0.0833814090459697,NA,NA
"fl2_ii","gender_disagg",NA,"male_headed",0.0428085991766382,NA,0.0290187854794225,0.0565984128738539,NA,NA
"fl2_ii","gender_disagg",NA,"female_headed",0.0729828162369408,NA,0.0206008575924372,0.125364774881444,NA,NA
"fl2_iii","gender_disagg",NA,"male_headed",0.0289668533009656,NA,0.0183249682541605,0.0396087383477707,NA,NA
"fl2_iii","gender_disagg",NA,"female_headed",0.0350000763546758,NA,0.00617299610876551,0.063827156600586,NA,NA
"fl2_iv","gender_disagg",NA,"male_headed",0.422645592936138,NA,0.359714542768212,0.485576643104064,NA,NA
"fl2_iv","gender_disagg",NA,"female_headed",0.34153603428519,NA,0.237912790014577,0.445159278555804,NA,NA
"fl2_v","gender_disagg",NA,"male_headed",0.0122195243044034,NA,0.00654650232948206,0.0178925462793248,NA,NA
"fl2_v","gender_disagg",NA,"female_headed",0.0137936957933215,NA,-0.00195581616759537,0.0295432077542383,NA,NA
"fl2_vi","gender_disagg",NA,"male_headed",0.033594889655288,NA,0.0192403055378263,0.0479494737727497,NA,NA
"fl2_vi","gender_disagg",NA,"female_headed",0.0163792139744759,NA,0.00300974328764851,0.0297486846613033,NA,NA
"fl2_vii","gender_disagg",NA,"male_headed",0.0128338388278769,NA,0.0077068346370737,0.0179608430186802,NA,NA
"fl2_vii","gender_disagg",NA,"female_headed",0.0228828474457087,NA,0.005560790379249,0.0402049045121683,NA,NA
"fl2_viii","gender_disagg",NA,"male_headed",0.269313196080694,NA,0.219914796298896,0.318711595862492,NA,NA
"fl2_viii","gender_disagg",NA,"female_headed",0.243321136021453,NA,0.138287132200028,0.348355139842877,NA,NA
"fl2_ix","gender_disagg",NA,"male_headed",0.0841196232003498,NA,0.0591757155467604,0.109063530853939,NA,NA
"fl2_ix","gender_disagg",NA,"female_headed",0.0795573332230904,NA,0.0431864726506993,0.115928193795481,NA,NA
"fl2_x","gender_disagg",NA,"male_headed",0.0190095673369554,NA,0.0116996011372975,0.0263195335366132,NA,NA
"fl2_x","gender_disagg",NA,"female_headed",0.0498003160736031,NA,-0.00412432573911709,0.103724957886323,NA,NA
"fl2_xi","gender_disagg",NA,"male_headed",0.199097672877811,NA,0.16527544953146,0.232919896224163,NA,NA
"fl2_xi","gender_disagg",NA,"female_headed",0.155497701522913,NA,0.0771552074601036,0.233840195585723,NA,NA
"fl2_xii","gender_disagg",NA,"male_headed",0.0459417501561295,NA,0.0330653394912857,0.0588181608209734,NA,NA
"fl2_xii","gender_disagg",NA,"female_headed",0.0569943722308987,NA,0.0244477800329696,0.0895409644288278,NA,NA
"h1","gender_disagg",NA,"male_headed",0.97900147493271,NA,0.966833788894373,0.991169160971047,NA,NA
"h1","gender_disagg",NA,"female_headed",0.980323106385102,NA,0.952531720463135,1.00811449230707,NA,NA
"h2","gender_disagg",NA,"male_headed",0.668816021757054,NA,0.623635848334522,0.713996195179585,NA,NA
"h2","gender_disagg",NA,"female_headed",0.794209050418725,NA,0.712861610082059,0.875556490755392,NA,NA
"h2_i","gender_disagg",NA,"male_headed",0.196110121032662,NA,0.138818540987301,0.253401701078022,NA,NA
"h2_i","gender_disagg",NA,"female_headed",0.233422112913892,NA,0.127850096008379,0.338994129819405,NA,NA
"h2_ii","gender_disagg",NA,"male_headed",0.105563693734479,NA,0.0727711460369611,0.138356241431997,NA,NA
"h2_ii","gender_disagg",NA,"female_headed",0.144137360184279,NA,0.0584141267482895,0.229860593620269,NA,NA
"h2_iii","gender_disagg",NA,"male_headed",0.677195888521813,NA,0.628430089118568,0.725961687925057,NA,NA
"h2_iii","gender_disagg",NA,"female_headed",0.657572703855225,NA,0.560268558968561,0.754876848741889,NA,NA
