"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","refugee_status",NA,"non_refugee",0.532460490185813,NA,0.480602978771688,0.584318001599938,NA,NA
"hh1","refugee_status",NA,"refugee",0.530873392650844,NA,0.485390023620045,0.576356761681644,NA,NA
"hh5_i","refugee_status",NA,"non_refugee",0.541628915470933,NA,0.489712190800475,0.59354564014139,NA,NA
"hh5_i","refugee_status",NA,"refugee",0.487913479512595,NA,0.442218181576395,0.533608777448796,NA,NA
"hh5_ii","refugee_status",NA,"non_refugee",0.458371084529067,NA,0.40645435985861,0.510287809199525,NA,NA
"hh5_ii","refugee_status",NA,"refugee",0.512086520487405,NA,0.466391222551204,0.557781818423605,NA,NA
"hh6_i","refugee_status",NA,"non_refugee",0.177598133338719,NA,0.136163555105828,0.21903271157161,NA,NA
"hh6_i","refugee_status",NA,"refugee",0.122177816789901,NA,0.092000190786737,0.152355442793065,NA,NA
"hh8","refugee_status",NA,"non_refugee",0,NA,0,0,NA,NA
"hh8","refugee_status",NA,"refugee",0,NA,0,0,NA,NA
"hh10","refugee_status",NA,"non_refugee",0.102861190870769,NA,0.075075897149596,0.130646484591943,NA,NA
"hh10","refugee_status",NA,"refugee",0.172119775252763,NA,0.139564937945434,0.204674612560092,NA,NA
"hh12","refugee_status",NA,"non_refugee",0.433695547601923,NA,0.381665784086605,0.485725311117242,NA,NA
"hh12","refugee_status",NA,"refugee",0.530759588603722,NA,0.485247063221728,0.576272113985715,NA,NA
"hhd1","refugee_status",NA,"non_refugee",0.0944433010560267,NA,0.0541020052043952,0.134784596907658,NA,NA
"hhd1","refugee_status",NA,"refugee",0.086688052245494,NA,0.0683240392504191,0.105052065240569,NA,NA
"hhd2","refugee_status",NA,"non_refugee",0.22357483171407,NA,0.172852934980228,0.274296728447913,NA,NA
"hhd2","refugee_status",NA,"refugee",0.208580526922152,NA,0.182747787541413,0.23441326630289,NA,NA
"hhd3","refugee_status",NA,"non_refugee",0.000709949189679059,NA,-0.000425423948014349,0.00184532232737247,NA,NA
"hhd3","refugee_status",NA,"refugee",0.00735978336021587,NA,0.00307461649845588,0.0116449502219759,NA,NA
"f1_i","refugee_status",NA,"non_refugee",0.00197511109803184,NA,-0.00113262500217673,0.00508284719824042,NA,NA
"f1_i","refugee_status",NA,"refugee",0.0025274047284063,NA,0.00076014717688094,0.00429466227993167,NA,NA
"f1_ii","refugee_status",NA,"non_refugee",0.0449841061564381,NA,0.0230155695678047,0.0669526427450716,NA,NA
"f1_ii","refugee_status",NA,"refugee",0.0620855817169144,NA,0.0379064439946875,0.0862647194391412,NA,NA
"f1_iii","refugee_status",NA,"non_refugee",0.95304078274553,NA,0.930874778613885,0.975206786877175,NA,NA
"f1_iii","refugee_status",NA,"refugee",0.935387013554679,NA,0.911162675809642,0.959611351299717,NA,NA
"fl1_i","refugee_status",NA,"non_refugee",0.333554658737906,NA,0.287938588888204,0.379170728587607,NA,NA
"fl1_i","refugee_status",NA,"refugee",0.636650677761747,NA,0.587902753675623,0.68539860184787,NA,NA
"fl1_ii","refugee_status",NA,"non_refugee",0.121133357673739,NA,0.0908217970840467,0.151444918263432,NA,NA
"fl1_ii","refugee_status",NA,"refugee",0.15948849436863,NA,0.133388040158372,0.185588948578888,NA,NA
"fl1_iii","refugee_status",NA,"non_refugee",0.0808513362097657,NA,0.0553453197670074,0.106357352652524,NA,NA
"fl1_iii","refugee_status",NA,"refugee",0.128866571545651,NA,0.101596002248295,0.156137140843007,NA,NA
"h1","refugee_status",NA,"non_refugee",0.976374073371401,NA,0.960091500333409,0.992656646409394,NA,NA
"h1","refugee_status",NA,"refugee",0.97933162125883,NA,0.964577526108349,0.994085716409312,NA,NA
"h2","refugee_status",NA,"non_refugee",0.638614335379003,NA,0.587061960291442,0.690166710466564,NA,NA
"h2","refugee_status",NA,"refugee",0.72988147237207,NA,0.684924217445934,0.774838727298206,NA,NA
"h2_i","refugee_status",NA,"non_refugee",0.197444836927873,NA,0.143200619194494,0.251689054661253,NA,NA
"h2_i","refugee_status",NA,"refugee",0.202524504099961,NA,0.151615757191569,0.253433251008354,NA,NA
"h2_ii","refugee_status",NA,"non_refugee",0.131310679187798,NA,0.0845981797612791,0.178023178614317,NA,NA
"h2_ii","refugee_status",NA,"refugee",0.0870843096643049,NA,0.0547014166944945,0.119467202634115,NA,NA
"h2_iii","refugee_status",NA,"non_refugee",0.680908964650104,NA,0.621495374367744,0.740322554932464,NA,NA
"h2_iii","refugee_status",NA,"refugee",0.664572249838241,NA,0.614418857172208,0.714725642504273,NA,NA
"h2_iv","refugee_status",NA,"non_refugee",0.433696522089792,NA,0.371221415852859,0.496171628326724,NA,NA
"h2_iv","refugee_status",NA,"refugee",0.52860543517434,NA,0.478999702628479,0.578211167720202,NA,NA
"h2_v","refugee_status",NA,"non_refugee",0.0256994051374117,NA,0.00622156802551299,0.0451772422493104,NA,NA
