"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","NA","NA","NA",0.501862432674733,NA,0.45151005011402,0.552214815235446,"hno_strata","khan_yunis"
"hh1","NA","NA","NA",0.517417409647137,NA,0.483191527505881,0.551643291788394,"hno_strata","deir_balah"
"hh1","NA","NA","NA",0.509738297360427,NA,0.432873414434225,0.586603180286628,"hno_strata","gaza"
"hh1","NA","NA","NA",0.535497054032476,NA,0.471634235441862,0.599359872623089,"hno_strata","rafah"
"hh1","NA","NA","NA",0.447496277696193,NA,0.399455441540363,0.495537113852024,"hno_strata","north_gaza"
"hh1","NA","NA","NA",0.56304407937095,NA,0.495264614353023,0.630823544388878,"hno_strata","area_ab"
"hh1","NA","NA","NA",0.522915975205108,NA,0.458346055792902,0.587485894617313,"hno_strata","area_c"
"hh1","NA","NA","NA",0.497041420118343,NA,0.417239110451426,0.57684372978526,"hno_strata","ej"
"hh1","NA","NA","NA",0.547619047619048,NA,0.480140399066254,0.615097696171842,"hno_strata","h2"
"hh5_i","NA","NA","NA",0.516373964496022,NA,0.466085569478152,0.566662359513893,"hno_strata","khan_yunis"
"hh5_i","NA","NA","NA",0.523921589053427,NA,0.489714015676178,0.558129162430675,"hno_strata","deir_balah"
"hh5_i","NA","NA","NA",0.499969643631463,NA,0.423096444610822,0.576842842652104,"hno_strata","gaza"
"hh5_i","NA","NA","NA",0.480923386477182,NA,0.416869313510658,0.544977459443707,"hno_strata","rafah"
"hh5_i","NA","NA","NA",0.556340163953454,NA,0.508326110860711,0.604354217046196,"hno_strata","north_gaza"
"hh5_i","NA","NA","NA",0.499965534114472,NA,0.433811447476412,0.566119620752532,"hno_strata","area_ab"
"hh5_i","NA","NA","NA",0.54047320273984,NA,0.476635676207091,0.604310729272588,"hno_strata","area_c"
"hh5_i","NA","NA","NA",0.63905325443787,NA,0.59152983754439,0.68657667133135,"hno_strata","ej"
"hh5_i","NA","NA","NA",0.514285714285714,NA,0.446526616166556,0.582044812404872,"hno_strata","h2"
"hh5_ii","NA","NA","NA",0.483626035503978,NA,0.433337640486108,0.533914430521849,"hno_strata","khan_yunis"
"hh5_ii","NA","NA","NA",0.476078410946573,NA,0.441870837569325,0.510285984323822,"hno_strata","deir_balah"
"hh5_ii","NA","NA","NA",0.500030356368537,NA,0.423157157347896,0.576903555389178,"hno_strata","gaza"
"hh5_ii","NA","NA","NA",0.519076613522818,NA,0.455022540556293,0.583130686489343,"hno_strata","rafah"
"hh5_ii","NA","NA","NA",0.443659836046546,NA,0.395645782953804,0.491673889139289,"hno_strata","north_gaza"
"hh5_ii","NA","NA","NA",0.500034465885528,NA,0.433880379247468,0.566188552523588,"hno_strata","area_ab"
"hh5_ii","NA","NA","NA",0.45952679726016,NA,0.395689270727412,0.523364323792909,"hno_strata","area_c"
"hh5_ii","NA","NA","NA",0.36094674556213,NA,0.31342332866865,0.40847016245561,"hno_strata","ej"
"hh5_ii","NA","NA","NA",0.485714285714286,NA,0.417955187595128,0.553473383833444,"hno_strata","h2"
"hh6_i","NA","NA","NA",0.11887126250566,NA,0.088024525787124,0.149717999224196,"hno_strata","khan_yunis"
"hh6_i","NA","NA","NA",0.156781460729946,NA,0.131555525424378,0.182007396035513,"hno_strata","deir_balah"
"hh6_i","NA","NA","NA",0.085321404544214,NA,0.043054554529104,0.127588254559324,"hno_strata","gaza"
"hh6_i","NA","NA","NA",0.104739758396679,NA,0.0664723774413027,0.143007139352055,"hno_strata","rafah"
"hh6_i","NA","NA","NA",0.0949973481493029,NA,0.068110747313022,0.121883948985584,"hno_strata","north_gaza"
"hh6_i","NA","NA","NA",0.179585559001666,NA,0.125890684290775,0.233280433712557,"hno_strata","area_ab"
"hh6_i","NA","NA","NA",0.161378316814729,NA,0.0835416703491589,0.239214963280299,"hno_strata","area_c"
"hh6_i","NA","NA","NA",0.230769230769231,NA,0.148344420442595,0.313194041095867,"hno_strata","ej"
"hh6_i","NA","NA","NA",0.0952380952380952,NA,0.0554413594728442,0.135034831003346,"hno_strata","h2"
"hh8","NA","NA","NA",0.637335466308526,NA,0.589218072074561,0.685452860542491,"hno_strata","khan_yunis"
"hh8","NA","NA","NA",0.856619025546727,NA,0.828839658039306,0.884398393054148,"hno_strata","deir_balah"
"hh8","NA","NA","NA",0.556811775775409,NA,0.479873759670847,0.633749791879971,"hno_strata","gaza"
"hh8","NA","NA","NA",0.888661998618334,NA,0.844811538595194,0.932512458641473,"hno_strata","rafah"
"hh8","NA","NA","NA",0.722598642997157,NA,0.676814296450666,0.768382989543647,"hno_strata","north_gaza"
"hh8","NA","NA","NA",0.301015168274711,NA,0.206331075367824,0.395699261181597,"hno_strata","area_ab"
"hh8","NA","NA","NA",0.27104302222803,NA,0.188103298376305,0.353982746079755,"hno_strata","area_c"
"hh8","NA","NA","NA",0.195266272189349,NA,0.0765256090250129,0.314006935353685,"hno_strata","ej"
"hh8","NA","NA","NA",0.119047619047619,NA,0.0751428677124317,0.162952370382806,"hno_strata","h2"
"hh10","NA","NA","NA",0.182356113912828,NA,0.144862285924232,0.219849941901424,"hno_strata","khan_yunis"
"hh10","NA","NA","NA",0.195794158488622,NA,0.168188444624859,0.223399872352385,"hno_strata","deir_balah"
"hh10","NA","NA","NA",0.154775806205422,NA,0.0999354717951961,0.209616140615648,"hno_strata","gaza"
"hh10","NA","NA","NA",0.225006831857215,NA,0.172090954002801,0.277922709711629,"hno_strata","rafah"
"hh10","NA","NA","NA",0.222160885648582,NA,0.182308808583861,0.262012962713303,"hno_strata","north_gaza"
"hh10","NA","NA","NA",0.0922196113792337,NA,0.0588137216013798,0.125625501157088,"hno_strata","area_ab"
"hh10","NA","NA","NA",0.151059735932446,NA,0.119214172343408,0.182905299521485,"hno_strata","area_c"
