dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value
hh1,NA,NA,NA,0.570247934,NA,0.481675554,0.658820314,strata,abasan_jadida
hh1,NA,NA,NA,0.6328125,NA,0.54897705,0.71664795,strata,abasan_kabira
hh1,NA,NA,NA,0.5078125,NA,0.420863776,0.594761224,strata,al_bureij
hh1,NA,NA,NA,0.482142857,NA,0.389186423,0.575099291,strata,al_fukhari
hh1,NA,NA,NA,0.462809917,NA,0.373598017,0.552021817,strata,al_maghazi
hh1,NA,NA,NA,0.524193548,NA,0.43593505,0.612452047,strata,al_mughraqa
hh1,NA,NA,NA,0.485714286,NA,0.389658376,0.581770196,strata,al_musaddar
hh1,NA,NA,NA,0.581395349,NA,0.495931803,0.666858895,strata,al_qarara
hh1,NA,NA,NA,0.495867769,NA,0.406411117,0.585324421,strata,an_naser
hh1,NA,NA,NA,0.606299213,NA,0.520991271,0.691607154,strata,an_nuseirat
hh1,NA,NA,NA,0.495798319,NA,0.40558685,0.586009789,strata,ash_shoka
hh1,NA,NA,NA,0.488372093,NA,0.40177653,0.574967656,strata,az_zawayda
hh1,NA,NA,NA,0.546153846,NA,0.460239624,0.632068069,strata,bani_suheila
hh1,NA,NA,NA,0.472868217,NA,0.386376848,0.559359586,strata,beit_hanun
hh1,NA,NA,NA,0.488372093,NA,0.40177653,0.574967656,strata,beit_lahiya
hh1,NA,NA,NA,0.5,NA,0.41304066,0.58695934,strata,bureij_camp
hh1,NA,NA,NA,0.503816794,NA,0.417869192,0.589764396,strata,deir_balah
hh1,NA,NA,NA,0.524193548,NA,0.43593505,0.612452047,strata,deir_balah_camp
hh1,NA,NA,NA,0.507462687,NA,0.422496936,0.592428437,strata,gaza
hh1,NA,NA,NA,0.395348837,NA,0.310648374,0.4800493,strata,jabalya
hh1,NA,NA,NA,0.526315789,NA,0.441137527,0.611494052,strata,jabalya_camp
hh1,NA,NA,NA,0.455357143,NA,0.362712868,0.548001417,strata,juhor_deik
hh1,NA,NA,NA,0.465648855,NA,0.379901831,0.551395879,strata,khan_yunis
hh1,NA,NA,NA,0.488,NA,0.400020368,0.575979632,strata,khan_yunis_camp
hh1,NA,NA,NA,0.488,NA,0.400020368,0.575979632,strata,khuza
hh1,NA,NA,NA,0.521008403,NA,0.430873417,0.61114339,strata,madinat_ezahra
hh1,NA,NA,NA,0.472440945,NA,0.385269926,0.559611964,strata,maghazi_camp
hh1,NA,NA,NA,0.480620155,NA,0.394066255,0.567174055,strata,nuseirat_camp
hh1,NA,NA,NA,0.552238806,NA,0.467728639,0.636748972,strata,rafah
hh1,NA,NA,NA,0.484375,NA,0.397458131,0.571291869,strata,rafah_camp
hh1,NA,NA,NA,0.543307087,NA,0.456331445,0.630282728,strata,shati_camp
hh1,NA,NA,NA,0.470588235,NA,0.380529796,0.560646674,strata,umm_naser
hh1,NA,NA,NA,0.521008403,NA,0.430873417,0.61114339,strata,wadi_salqa
hh1,NA,NA,NA,0.566308244,NA,0.499260837,0.633355651,strata,camps_wb
hh1,NA,NA,NA,0.5625,NA,0.494881414,0.630118586,strata,Area_AB
hh1,NA,NA,NA,0.5,NA,0.423384265,0.576615735,strata,bethlehem_c
hh1,NA,NA,NA,0.566502463,NA,0.528263603,0.604741323,strata,hebron_c
hh1,NA,NA,NA,0.53271028,NA,0.448267246,0.617153315,strata,jenin_c
hh1,NA,NA,NA,0.642241379,NA,0.607139572,0.677343187,strata,jericho_c
hh1,NA,NA,NA,0.497326203,NA,0.409719837,0.584932569,strata,jerusalem_2_c
hh1,NA,NA,NA,0.579710145,NA,0.430880476,0.728539814,strata,nablus_c
hh1,NA,NA,NA,0.488151659,NA,0.347681212,0.628622106,strata,qalqiliya_c
hh1,NA,NA,NA,0.529100529,NA,0.436317718,0.62188334,strata,ramallah_c
hh1,NA,NA,NA,0.521126761,NA,0.490563982,0.551689539,strata,salfit_c
hh1,NA,NA,NA,0.596858639,NA,0.51693837,0.676778907,strata,tubas_c
hh1,NA,NA,NA,0.411214953,NA,0.315095905,0.507334001,strata,tulkarm_c
hh1,NA,NA,NA,0.49704142,NA,0.41723911,0.57684373,strata,east_jerusalem
hh1,NA,NA,NA,0.547619048,NA,0.480140399,0.615097696,strata,H2
hh5_i,NA,NA,NA,0.487603306,NA,0.398171099,0.577035513,strata,abasan_jadida
hh5_i,NA,NA,NA,0.484375,NA,0.397458131,0.571291869,strata,abasan_kabira
hh5_i,NA,NA,NA,0.46875,NA,0.381960669,0.555539331,strata,al_bureij
hh5_i,NA,NA,NA,0.491071429,NA,0.398070486,0.584072371,strata,al_fukhari
hh5_i,NA,NA,NA,0.52892562,NA,0.439615738,0.618235501,strata,al_maghazi
hh5_i,NA,NA,NA,0.475806452,NA,0.387547953,0.56406495,strata,al_mughraqa
hh5_i,NA,NA,NA,0.552380952,NA,0.456814592,0.647947313,strata,al_musaddar
hh5_i,NA,NA,NA,0.496124031,NA,0.409507645,0.582740417,strata,al_qarara
hh5_i,NA,NA,NA,0.520661157,NA,0.43127786,0.610044454,strata,an_naser
hh5_i,NA,NA,NA,0.559055118,NA,0.472362467,0.645747769,strata,an_nuseirat
hh5_i,NA,NA,NA,0.529411765,NA,0.439353326,0.619470204,strata,ash_shoka
hh5_i,NA,NA,NA,0.472868217,NA,0.386376848,0.559359586,strata,az_zawayda
hh5_i,NA,NA,NA,0.538461538,NA,0.452434588,0.624488489,strata,bani_suheila
hh5_i,NA,NA,NA,0.527131783,NA,0.440640414,0.613623152,strata,beit_hanun
hh5_i,NA,NA,NA,0.503875969,NA,0.417259583,0.590492355,strata,beit_lahiya
hh5_i,NA,NA,NA,0.5,NA,0.41304066,0.58695934,strata,bureij_camp
hh5_i,NA,NA,NA,0.526717557,NA,0.440890246,0.612544869,strata,deir_balah
hh5_i,NA,NA,NA,0.491935484,NA,0.403584978,0.58028599,strata,deir_balah_camp
hh5_i,NA,NA,NA,0.5,NA,0.415024784,0.584975216,strata,gaza
hh5_i,NA,NA,NA,0.604651163,NA,0.5199507,0.689351626,strata,jabalya
hh5_i,NA,NA,NA,0.518796992,NA,0.433560805,0.60403318,strata,jabalya_camp
hh5_i,NA,NA,NA,0.446428571,NA,0.35394823,0.538908913,strata,juhor_deik
hh5_i,NA,NA,NA,0.526717557,NA,0.440890246,0.612544869,strata,khan_yunis
hh5_i,NA,NA,NA,0.496,NA,0.407997835,0.584002165,strata,khan_yunis_camp
hh5_i,NA,NA,NA,0.488,NA,0.400020368,0.575979632,strata,khuza
hh5_i,NA,NA,NA,0.504201681,NA,0.413990211,0.59441315,strata,madinat_ezahra
hh5_i,NA,NA,NA,0.535433071,NA,0.448348832,0.62251731,strata,maghazi_camp
hh5_i,NA,NA,NA,0.534883721,NA,0.448475798,0.621291644,strata,nuseirat_camp
hh5_i,NA,NA,NA,0.470149254,NA,0.385325611,0.554972897,strata,rafah
hh5_i,NA,NA,NA,0.5,NA,0.41304066,0.58695934,strata,rafah_camp
hh5_i,NA,NA,NA,0.511811024,NA,0.42453165,0.599090397,strata,shati_camp
hh5_i,NA,NA,NA,0.504201681,NA,0.413990211,0.59441315,strata,umm_naser
hh5_i,NA,NA,NA,0.546218487,NA,0.456390083,0.636046892,strata,wadi_salqa
hh5_i,NA,NA,NA,0.553763441,NA,0.505584676,0.601942206,strata,camps_wb
hh5_i,NA,NA,NA,0.5,NA,0.434108996,0.565891004,strata,Area_AB
hh5_i,NA,NA,NA,0.543956044,NA,0.5165321,0.571379988,strata,bethlehem_c
hh5_i,NA,NA,NA,0.497536946,NA,0.468067512,0.52700638,strata,hebron_c
hh5_i,NA,NA,NA,0.53271028,NA,0.507007617,0.558412944,strata,jenin_c
hh5_i,NA,NA,NA,0.478448276,NA,0.381826547,0.575070005,strata,jericho_c
hh5_i,NA,NA,NA,0.577540107,NA,0.484674386,0.670405827,strata,jerusalem_2_c
hh5_i,NA,NA,NA,0.61352657,NA,0.571390875,0.655662266,strata,nablus_c
hh5_i,NA,NA,NA,0.606635071,NA,0.539797862,0.67347228,strata,qalqiliya_c
hh5_i,NA,NA,NA,0.481481481,NA,0.42132479,0.541638173,strata,ramallah_c
hh5_i,NA,NA,NA,0.511737089,NA,0.477638102,0.545836077,strata,salfit_c
hh5_i,NA,NA,NA,0.476439791,NA,0.399777183,0.553102398,strata,tubas_c
hh5_i,NA,NA,NA,0.691588785,NA,0.586055016,0.797122554,strata,tulkarm_c
hh5_i,NA,NA,NA,0.639053254,NA,0.591529838,0.686576671,strata,east_jerusalem
hh5_i,NA,NA,NA,0.514285714,NA,0.446526616,0.582044812,strata,H2
hh5_ii,NA,NA,NA,0.512396694,NA,0.422964487,0.601828901,strata,abasan_jadida
hh5_ii,NA,NA,NA,0.515625,NA,0.428708131,0.602541869,strata,abasan_kabira
hh5_ii,NA,NA,NA,0.53125,NA,0.444460669,0.618039331,strata,al_bureij
hh5_ii,NA,NA,NA,0.508928571,NA,0.415927629,0.601929514,strata,al_fukhari
hh5_ii,NA,NA,NA,0.47107438,NA,0.381764499,0.560384262,strata,al_maghazi
