"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"e_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"e_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"edu_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"l_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"l_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"l_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"liv_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"f_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"food_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"p_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"p_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"p_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"p_4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"prot_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"h_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"h_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"h_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hlth_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"s_1","NA","NA","NA",1.38711435385725,NA,1.32683753303996,1.44739117467454,NA,NA
"s_2","NA","NA","NA",2.35609633561195,NA,2.28342679550708,2.42876587571681,NA,NA
"s_3","NA","NA","NA",1,NA,1,1,NA,NA
"s_4","NA","NA","NA",1.30119142788821,NA,1.2280633864268,1.37431946934962,NA,NA
"shltr_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"w_3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"wash_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"m_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pov_vul",NA,NA,NA,NA,NA,NA,NA,NA,NA
