dependent.var,repeat.var.value,population.group,numbers
hh1,khan_yunis,all,0.501862433
hh1,deir_balah,all,0.51741741
hh1,gaza,all,0.509738297
hh1,rafah,all,0.535497054
hh1,north_gaza,all,0.447496278
hh5_i,khan_yunis,all,0.516373964
hh5_i,deir_balah,all,0.523921589
hh5_i,gaza,all,0.499969644
hh5_i,rafah,all,0.480923386
hh5_i,north_gaza,all,0.556340164
hh5_ii,khan_yunis,all,0.483626036
hh5_ii,deir_balah,all,0.476078411
hh5_ii,gaza,all,0.500030356
hh5_ii,rafah,all,0.519076614
hh5_ii,north_gaza,all,0.443659836
hh6_i,khan_yunis,all,0.118871263
hh6_i,deir_balah,all,0.156781461
hh6_i,gaza,all,0.085321405
hh6_i,rafah,all,0.104739758
hh6_i,north_gaza,all,0.094997348
hh8,khan_yunis,all,0.637335466
hh8,deir_balah,all,0.856619026
hh8,gaza,all,0.556811776
hh8,rafah,all,0.888661999
hh8,north_gaza,all,0.722598643
hh10,khan_yunis,all,0.182356114
hh10,deir_balah,all,0.195794158
hh10,gaza,all,0.154775806
hh10,rafah,all,0.225006832
hh10,north_gaza,all,0.222160886
hh12,khan_yunis,all,0.393758992
hh12,deir_balah,all,0.483101292
hh12,gaza,all,0.570419965
hh12,rafah,all,0.499813998
hh12,north_gaza,all,0.465679962
hhd1,khan_yunis,all,0.094603879
hhd1,deir_balah,all,0.079287422
hhd1,gaza,all,0.096099428
hhd1,rafah,all,0.190142219
hhd1,north_gaza,all,0.014617187
hhd2,khan_yunis,all,0.164515706
hhd2,deir_balah,all,0.138889513
hhd2,gaza,all,0.173976788
hhd2,rafah,all,0.14231615
hhd2,north_gaza,all,0.431416965
hhd3,khan_yunis,all,0.003039007
hhd3,deir_balah,all,0.0028791
hhd3,gaza,all,0.001124701
hhd3,rafah,all,0.011560522
hhd3,north_gaza,all,0.012620269
f1_i,khan_yunis,all,0.004431528
f1_i,deir_balah,all,0.007218332
f1_i,gaza,all,0.008322664
f1_i,rafah,all,0.001220992
f1_i,north_gaza,all,0
f1_ii,khan_yunis,all,0.068403298
f1_ii,deir_balah,all,0.057481096
f1_ii,gaza,all,0.055826234
f1_ii,rafah,all,0.046521682
f1_ii,north_gaza,all,0.019373431
f1_iii,khan_yunis,all,0.927165174
f1_iii,deir_balah,all,0.935300572
f1_iii,gaza,all,0.935851102
f1_iii,rafah,all,0.952257325
f1_iii,north_gaza,all,0.980626569
fl1_i,khan_yunis,all,0.824212781
fl1_i,deir_balah,all,0.829076104
fl1_i,gaza,all,0.743116954
fl1_i,rafah,all,0.900662887
fl1_i,north_gaza,all,0.858047239
fl1_ii,khan_yunis,all,0.293966365
fl1_ii,deir_balah,all,0.21317748
fl1_ii,gaza,all,0.20291957
fl1_ii,rafah,all,0.282609352
fl1_ii,north_gaza,all,0.245403986
fl1_iii,khan_yunis,all,0.192200429
fl1_iii,deir_balah,all,0.17472809
fl1_iii,gaza,all,0.125046855
fl1_iii,rafah,all,0.241093244
fl1_iii,north_gaza,all,0.101025919
fl2_i,khan_yunis,all,0.228058639
fl2_i,deir_balah,all,0.146124659
fl2_i,gaza,all,0.122092545
fl2_i,rafah,all,0.191114337
fl2_i,north_gaza,all,0.162009793
fl2_ii,khan_yunis,all,0.056029958
fl2_ii,deir_balah,all,0.040946828
fl2_ii,gaza,all,0.068901629
fl2_ii,rafah,all,0.037465678
fl2_ii,north_gaza,all,0.071459025
fl2_iii,khan_yunis,all,0.031828714
fl2_iii,deir_balah,all,0.020735536
fl2_iii,gaza,all,0.055023278
fl2_iii,rafah,all,0.024063963
fl2_iii,north_gaza,all,0.034690926
fl2_iv,khan_yunis,all,0.773920303
fl2_iv,deir_balah,all,0.769631935
fl2_iv,gaza,all,0.668053047
fl2_iv,rafah,all,0.847093832
fl2_iv,north_gaza,all,0.807787236
fl2_v,khan_yunis,all,0.017864853
fl2_v,deir_balah,all,0.013371659
fl2_v,gaza,all,0.018764208
fl2_v,rafah,all,0.002402995
