"governorate","district","hno_severity_coping_1","hno_severity_coping_1_min","hno_severity_coping_1_max","hno_severity_coping_2","hno_severity_coping_2_min","hno_severity_coping_2_max","hno_severity_coping_3","hno_severity_coping_3_min","hno_severity_coping_3_max","hno_severity_coping_4","hno_severity_coping_4_min","hno_severity_coping_4_max","hno_severity_coping_5","hno_severity_coping_5_min","hno_severity_coping_5_max","hno_severity_wellbeing_1","hno_severity_wellbeing_1_min","hno_severity_wellbeing_1_max","hno_severity_wellbeing_2","hno_severity_wellbeing_2_min","hno_severity_wellbeing_2_max","hno_severity_wellbeing_3","hno_severity_wellbeing_3_min","hno_severity_wellbeing_3_max","hno_severity_wellbeing_4","hno_severity_wellbeing_4_min","hno_severity_wellbeing_4_max","hno_severity_wellbeing_5","hno_severity_wellbeing_5_min","hno_severity_wellbeing_5_max","hno_severity_living_1","hno_severity_living_1_min","hno_severity_living_1_max","hno_severity_living_2","hno_severity_living_2_min","hno_severity_living_2_max","hno_severity_living_3","hno_severity_living_3_min","hno_severity_living_3_max","hno_severity_living_4","hno_severity_living_4_min","hno_severity_living_4_max","hno_severity_living_5","hno_severity_living_5_min","hno_severity_living_5_max","hno_severity_edu_1","hno_severity_edu_1_min","hno_severity_edu_1_max","hno_severity_edu_2","hno_severity_edu_2_min","hno_severity_edu_2_max","hno_severity_edu_3","hno_severity_edu_3_min","hno_severity_edu_3_max","hno_severity_edu_4","hno_severity_edu_4_min","hno_severity_edu_4_max","hno_severity_edu_5","hno_severity_edu_5_min","hno_severity_edu_5_max","hno_severity_food_1","hno_severity_food_1_min","hno_severity_food_1_max","hno_severity_food_2","hno_severity_food_2_min","hno_severity_food_2_max","hno_severity_food_3","hno_severity_food_3_min","hno_severity_food_3_max","hno_severity_food_4","hno_severity_food_4_min","hno_severity_food_4_max","hno_severity_food_5","hno_severity_food_5_min","hno_severity_food_5_max","hno_severity_health_1","hno_severity_health_1_min","hno_severity_health_1_max","hno_severity_health_2","hno_severity_health_2_min","hno_severity_health_2_max","hno_severity_health_3","hno_severity_health_3_min","hno_severity_health_3_max","hno_severity_health_4","hno_severity_health_4_min","hno_severity_health_4_max","hno_severity_health_5","hno_severity_health_5_min","hno_severity_health_5_max","hno_severity_livelihood_1","hno_severity_livelihood_1_min","hno_severity_livelihood_1_max","hno_severity_livelihood_2","hno_severity_livelihood_2_min","hno_severity_livelihood_2_max","hno_severity_livelihood_3","hno_severity_livelihood_3_min","hno_severity_livelihood_3_max","hno_severity_livelihood_4","hno_severity_livelihood_4_min","hno_severity_livelihood_4_max","hno_severity_livelihood_5","hno_severity_livelihood_5_min","hno_severity_livelihood_5_max","hno_severity_protection_1","hno_severity_protection_1_min","hno_severity_protection_1_max","hno_severity_protection_2","hno_severity_protection_2_min","hno_severity_protection_2_max","hno_severity_protection_3","hno_severity_protection_3_min","hno_severity_protection_3_max","hno_severity_protection_4","hno_severity_protection_4_min","hno_severity_protection_4_max","hno_severity_protection_5","hno_severity_protection_5_min","hno_severity_protection_5_max","hno_severity_shelter_1","hno_severity_shelter_1_min","hno_severity_shelter_1_max","hno_severity_shelter_2","hno_severity_shelter_2_min","hno_severity_shelter_2_max","hno_severity_shelter_3","hno_severity_shelter_3_min","hno_severity_shelter_3_max","hno_severity_shelter_4","hno_severity_shelter_4_min","hno_severity_shelter_4_max","hno_severity_shelter_5","hno_severity_shelter_5_min","hno_severity_shelter_5_max","hno_severity_wash_1","hno_severity_wash_1_min","hno_severity_wash_1_max","hno_severity_wash_2","hno_severity_wash_2_min","hno_severity_wash_2_max","hno_severity_wash_3","hno_severity_wash_3_min","hno_severity_wash_3_max","hno_severity_wash_4","hno_severity_wash_4_min","hno_severity_wash_4_max","hno_severity_wash_5","hno_severity_wash_5_min","hno_severity_wash_5_max"
"","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral coping severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral  wellbeing severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Inter-sectoral living severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral education severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral food security severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral health severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral livelihood severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral protection severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral shelter severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","","","Sectoral WASH severity scores","",""
"","","% of HHs with an inter-sectoral severity  coping score of 1","","","% of HHs with an inter-sectoral severity  coping score of 2","","","% of HHs with an inter-sectoral severity  coping score of 3","","","% of HHs with an inter-sectoral severity  coping score of 4","","","% of HHs with an inter-sectoral severity  coping score of 5","","","% of HHs with an inter-sectoral severity  wellbeing score of 1","","","% of HHs with an inter-sectoral severity  wellbeing score of 2","","","% of HHs with an inter-sectoral severity  wellbeing score of 3","","","% of HHs with an inter-sectoral severity  wellbeing score of 4","","","% of HHs with an inter-sectoral severity  wellbeing score of 5","","","% of HHs with an inter-sectoral living score of 1","","","% of HHs with an inter-sectoral living score of 2","","","% of HHs with an inter-sectoral living score of 3","","","% of HHs with an inter-sectoral living score of 4","","","% of HHs with an inter-sectoral living score of 5","","","% of HHs with  sectoral education score of 1","","","% of HHs with  sectoral education score of 2","","","% of HHs with  sectoral education score of 3","","","% of HHs with  sectoral education score of 4","","","% of HHs with  sectoral education score of 5","","","% of HHs with  sectoral food security score of 1","","","% of HHs with  sectoral food security score of 2","","","% of HHs with  sectoral food security score of 3","","","% of HHs with  sectoral food security score of 4","","","% of HHs with  sectoral food security score of 5","","","% of HHs with  sectoral health score of 1","","","% of HHs with  sectoral health score of 2","","","% of HHs with  sectoral health score of 3","","","% of HHs with  sectoral health score of 4","","","% of HHs with  sectoral health score of 5","","","% of HHs with  sectoral livelihood score of 1","","","% of HHs with  sectoral livelihood score of 2","","","% of HHs with  sectoral livelihood score of 3","","","% of HHs with  sectoral livelihood score of 4","","","% of HHs with  sectoral livelihood score of 5","","","% of HHs with  sectoral protection score of 1","","","% of HHs with  sectoral protection score of 2","","","% of HHs with  sectoral protection score of 3","","","% of HHs with  sectoral protection score of 4","","","% of HHs with  sectoral protection score of 5","","","% of HHs with  sectoral shelter score of 1","","","% of HHs with  sectoral shelter score of 2","","","% of HHs with  sectoral shelter score of 3","","","% of HHs with  sectoral shelter score of 4","","","% of HHs with  sectoral shelter score of 5","","","% of HHs with  sectoral wash score of 1","","","% of HHs with  sectoral wash score of 2","","","% of HHs with  sectoral wash score of 3","","","% of HHs with  sectoral wash score of 4","","","% of HHs with  sectoral wash score of 5","",""
"","","% of HHs with an inter-sectoral severity coping score of 1","","","% of HHs with an inter-sectoral severity coping score of 2","","","% of HHs with an inter-sectoral severity coping score of 3","","","% of HHs with an inter-sectoral severity coping score of 4","","","% of HHs with an inter-sectoral severity coping score of 5","","","% of HHs with an inter-sectoral severity wellbeing  score of 1","","","% of HHs with an inter-sectoral severity wellbeing  score of 2","","","% of HHs with an inter-sectoral severity wellbeing  score of 3","","","% of HHs with an inter-sectoral severity wellbeing  score of 4","","","% of HHs with an inter-sectoral severity wellbeing  score of 5","","","% of HHs with an inter-sectoral severity living score of 1","","","% of HHs with an inter-sectoral severity living score of 2","","","% of HHs with an inter-sectoral severity living score of 3","","","% of HHs with an inter-sectoral severity living score of 4","","","% of HHs with an inter-sectoral severity living score of 5","","","% of HHs with  sectoral severity education score of 1","","","% of HHs with  sectoral severity education score of 2","","","% of HHs with  sectoral severity education score of 3","","","% of HHs with  sectoral severity education score of 4","","","% of HHs with  sectoral severity education score of 5","","","% of HHs with  sectoral severity food security score of 1","","","% of HHs with  sectoral severity food security score of 2","","","% of HHs with  sectoral severity food security score of 3","","","% of HHs with  sectoral severity food security score of 4","","","% of HHs with  sectoral severity food security score of 5","","","% of HHs with  sectoral severity health score of 1","","","% of HHs with  sectoral severity health score of 2","","","% of HHs with  sectoral severity health score of 3","","","% of HHs with  sectoral severity health score of 4","","","% of HHs with  sectoral severity health score of 5","","","% of HHs with  sectoral severity livelihood score of 1","","","% of HHs with  sectoral severity livelihood score of 2","","","% of HHs with  sectoral severity livelihood score of 3","","","% of HHs with  sectoral severity livelihood score of 4","","","% of HHs with  sectoral severity livelihood score of 5","","","% of HHs with  sectoral severity protection score of 1","","","% of HHs with  sectoral severity protection score of 2","","","% of HHs with  sectoral severity protection score of 3","","","% of HHs with  sectoral severity protection score of 4","","","% of HHs with  sectoral severity protection score of 5","","","% of HHs with  sectoral severity shelter score of 1","","","% of HHs with  sectoral severity shelter score of 2","","","% of HHs with  sectoral severity shelter score of 3","","","% of HHs with  sectoral severity shelter score of 4","","","% of HHs with  sectoral severity shelter score of 5","","","% of HHs with  sectoral severity wash score of 1","","","% of HHs with  sectoral severity wash score of 2","","","% of HHs with  sectoral severity wash score of 3","","","% of HHs with  sectoral severity wash score of 4","","","% of HHs with  sectoral severity wash score of 5","",""
"","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","","","numerical","",""
NA,"Area A & B","0.568023925644642","0.476833928475731","0.659213922813554","0.140756248947251","0.07885094351774","0.202661554376763","0.208707541542476","0.137412654033438","0.280002429051515","0.0825122838656301","0.0230656044239082","0.141958963307352","0","0","0","0.587438580671849","0.453344567832477","0.721532593511222","0.199000214028873","0.133232130429696","0.26476829762805","0.155317240217657","0.0590869825063002","0.251547497929013","0.0533903013248195","0.0134409805578096","0.0933396220918294","0.00485366375680177","-0.00438976955215264","0.0140970970657562","0.0679512925952248","0.0461968823704916","0.0897057028199581","0.635975218239867","0.529603933864464","0.74234650261527","0.252390515353692","0.155638415806482","0.349142614900902","0.043682973811216","0.00862743790168135","0.0787385097207506","0","0","0","0.446672563663131","0.352666484764917","0.540678642561345","0.289316105582991","0.19940513468365","0.379227076482331","0.0762226016152072","0.0382032652133709","0.114241938017044","0.18271335808087","0.128529624735592","0.236897091426148","0.00507537105780194","-0.00502192801828776","0.0151726701338916","0.296130739910742","0.203676336986517","0.388585142834967","0.378585773030538","0.289130642360344","0.468040903700733","0.165112583084261","0.116347241295081","0.213877924873441","0.140756248947251","0.076480931110621","0.205031566783882","0.0194146550272071","0.00215169196885143","0.0366776180855627","0.601999571942255","0.459151544778687","0.744847599105822","0.101926938892837","0.0641029755042591","0.139750902281415","0.145609912704053","0.0639040347038139","0.227315790704292","0.0825122838656301","0.0416102911246689","0.123414276606591","0.0679512925952248","0.00892865453833416","0.126973930652115","0.0485366375680177","0.0202833166058377","0.0767899585301978","0.0922196113792337","0.0503334527002729","0.134105770058194","0.257301429856328","0.172499656009064","0.342103203703592","0.485454391033178","0.373563301711461","0.597345480354895","0.116487930163243","0.0516064961935845","0.181369364132901","0.868951078566352","0.811619953541683","0.926282203591022","0.043682973811216","0.00923821410718722","0.0781277335152447","0.0825122838656301","0.0389633261923683","0.126061241538892","0.00485366375680177","-0.00477315588818468","0.0144804834017882","0","0","0","0.5776241542233","0.484936305281613","0.670312003164988","0.315595243127061","0.240495201899752","0.39069528435437","0.0582439650816213","0.0192039798268009","0.0972839503364417","0.0388293100544142","0.00394094136049063","0.0737176787483377","0.00970732751360355","-0.00432995245324145","0.0237446074804485","0.665097200780678","0.569559859348915","0.760634542212441","0.0873659476224319","0.00981800655098317","0.164913888693881","0.237829524083287","0.146884910201537","0.328774137965036","0.00970732751360355","-0.00360244659163817","0.0230171016188453","0","0","0"
NA,"Area C","0.491861836034284","0.413367162325439","0.570356509743129","0.195658470796366","0.155916146038544","0.235400795554188","0.197604822279002","0.117849983087088","0.277359661470917","0.103453105732223","0.0750406168940562","0.13186559457039","0.0114217651581244","0.00110540802401893","0.0217381222922299","0.613651750358504","0.545515862782895","0.681787637934112","0.247165376506073","0.203969397513525","0.29036135549862","0.105991055387453","0.0818851984361942","0.130096912338711","0.0319847100621539","0.0200391828344818","0.0439302372898261","0.00120710768581719","-0.000326070646279504","0.00274028601791389","0.070181733093857","0.0528596678292182","0.0875037983584959","0.533754400991859","0.46372595234709","0.603782849636627","0.342505988362309","0.272330520254784","0.412681456469834","0.0535578775519755","0.0293953746164445","0.0777203804875065","0","0","0","0.415538644891457","0.333696772617134","0.49738051716578","0.231945590922953","0.187094749701922","0.276796432143983","0.107366129849852","0.0787992936028206","0.135932966096883","0.239280270650096","0.193725019906479","0.284835521393714","0.00586936368564208","0.00203296224092137","0.00970576513036279","0.286675176196227","0.235789712086667","0.337560640305788","0.321904369059799","0.272136260171373","0.371672477948225","0.206334887148543","0.132263064621483","0.280406709675604","0.180900237184168","0.105382090556228","0.256418383812109","0.00418533041126222","-0.000115121643564835","0.00848578246608929","0.620773349808448","0.553819242160847","0.687727457456049","0.130597677035788","0.0980812119706202","0.163114142100955","0.149047123224219","0.113852880142913","0.184241366305525","0.0781872407535249","0.0561109592907029","0.100263522216347","0.0213946091780203","0.012506601830877","0.0302826165251635","0.0430630088588652","0.0298084585023537","0.0563175592153767","0.0458449783999418","0.0292792793806538","0.0624106774192298","0.253835479493178","0.182814651991095","0.324856306995262","0.484852174931423","0.416781466837161","0.552922883025685","0.172404358316592","0.133476266139431","0.211332450493753","0.794206389109109","0.744222712614635","0.844190065603583","0.0752718519897487","0.0509031476539811","0.0996405563255163","0.105565502047643","0.0755884813087046","0.135542522786581","0.018742982549616","0.0094787580223564","0.0280072070768756","0.00621327430388344","0.00227951997814561","0.0101470286296213","0.544770232075511","0.472564873144794","0.616975591006229","0.306530286034549","0.254371794392795","0.358688777676303","0.0917574757956576","0.0117109107810485","0.171804040810267","0.0488308449092947","0.0230955450592723","0.074566144759317","0.00811116118498733","-0.00133759391968608","0.0175599162896607","0.735663399257292","0.669440072719077","0.801886725795508","0.0435894273320919","0.0214513158155701","0.0657275388486137","0.194858731434754","0.137934976281173","0.251782486588335","0.0144666768177377","0.0066947185603853","0.0222386350750902","0.0114217651581244","0.00110540802401893","0.0217381222922299"
"Deir al-Balah","Deir al-Balah","0.0958226369110675","0.0746608041797564","0.116984469642379","0.322781922776357","0.290595881786999","0.354967963765715","0.315732801116936","0.283943845799712","0.347521756434161","0.264026215783283","0.234296771687607","0.293755659878959","0.0016364234123564","-0.000413325267402636","0.00368617209211543","0.378379790796856","0.344948535466396","0.411811046127317","0.281198881045338","0.250750985558214","0.311646776532462","0.251364725532131","0.221634297701705","0.281095153362558","0.078264821621417","0.0599015564052062","0.0966280868376278","0.0107917810042572","0.0036814602559732","0.0179021017525411","0","0","0","0.115528119216332","0.0930944183497897","0.137961820082873","0.588007561754236","0.554356310044999","0.621658813463472","0.295321013894423","0.264436629920913","0.326205397867933","0.0011433051350102","-0.000100832936288041","0.00238744320630843","0.33025953677385","0.297318397333789","0.363200676213911","0.415889590122992","0.382003021013884","0.4497761592321","0.0494268552009636","0.033791806992847","0.0650619034090803","0.200723258334799","0.173482972732662","0.227963543936935","0.00370075956739579","-0.000770760462355794","0.00817227959714738","0.0514012977081628","0.0357767522374312","0.0670258431788944","0.443979877572958","0.409996603749069","0.477963151396847","0.241611093948589","0.212318739806047","0.270903448091131","0.255551266481336","0.22532624106973","0.285776291892942","0.00745646428895447","0.00250731280803304","0.0124056157698759","0.374012583966511","0.340547656117881","0.407477511815141","0.115461439642951","0.0941417476008297","0.136781131685073","0.258551261088715","0.228866855768773","0.288235666408657","0.122905637837769","0.0998396522132651","0.145971623462273","0.129069077464054","0.106766363416367","0.15137179151174","0.0012099591521961","-0.000385728000307817","0.00280564630470001","0.00478273865390675","6.14069163694213e-06","0.00955933661617656","0.026189728794217","0.0165016635506083","0.0358777940378257","0.184960016347176","0.157905446369273","0.212014586325078","0.782857557052505","0.754522090780792","0.811193023324217","0.855011171585906","0.830632120755355","0.879390222416457","0.0529115795249361","0.0382917047075674","0.0675314543423047","0.0747528448284676","0.0558901054151978","0.0936155842417374","0.0173244040606905","0.00812627583718555","0.0265225322841954","0","0","0","0.255573136100002","0.224593458763235","0.28655281343677","0.301574969512263","0.270340200326124","0.332809738698403","0.165082042457695","0.139502785009082","0.190661299906308","0.204813572060212","0.17766496980426","0.231962174316165","0.0729562798698272","0.0567213336775896","0.0891912260620648","0.166572108153899","0.141142276682318","0.192001939625481","0.0109517113910076","0.00398822219292533","0.0179152005890899","0.786774494754721","0.758800844641066","0.814748144868375","0.0336221851975765","0.0210504115216477","0.0461939588735054","0.0020795005027958","-0.000146939916585551","0.00430594092217716"
"Gaza","Gaza","0.168072389108552","0.109199759505162","0.226945018711942","0.39968313992108","0.324275769039434","0.475090510802727","0.273786924287581","0.205600583318647","0.341973265256515","0.151500917991532","0.0977523817587648","0.205249454224298","0.00695662869125543","-0.00624245105724919","0.0201557084397601","0.501586611077022","0.424716344370276","0.578456877783768","0.239752653216956","0.174195429004757","0.305309877429156","0.206415580163075","0.144683073076538","0.268148087249612","0.0517536389219075","0.0175328163548674","0.0859744614889477","0.0004915166210394","-0.000475105597820246","0.00145813883989905","6.88090284562709e-05","-6.6568490769159e-05","0.000204186547681701","0.166773922476449","0.108847667955886","0.224700176997012","0.534247382484257","0.457511557740086","0.610983207228428","0.298909886010838","0.2285501213624","0.369269650659276","0","0","0","0.391850600319431","0.316189036235975","0.467512164402887","0.288486023702266","0.218881565744553","0.35809048165998","0.0452223751703238","0.0129938827003614","0.0774508676402863","0.266962832140599","0.198028299501407","0.335897364779791","0.00747816866737991","-0.00594782230191822","0.0209041596366781","0.121218716466685","0.0701033218935193","0.17233411103985","0.410929016523977","0.335299110580731","0.486558922467224","0.249741637495549","0.183477839158857","0.316005435832242","0.210801855595421","0.148277363259509","0.273326347931333","0.00730877391836697","-0.00589656508352849","0.0205141129202624","0.470980634883133","0.394183257960576","0.547778011805691","0.106763184640307","0.0597091480862544","0.15381722119436","0.28422757967494","0.214917943812595","0.353537215537285","0.0682167976957018","0.0297072604410316","0.106726334950372","0.0698118031059173","0.031260020164783","0.108363586047051","0.0140645696612375","-0.00455183989427441","0.0326809792167493","0.0137794801255669","-0.00481441274202937","0.0323733729931631","0.036198862596276","0.00709889486406216","0.0652988303284898","0.18261257836912","0.122751912562218","0.242473244176022","0.7533445092478","0.686480109549436","0.820208908946163","0.83821334327282","0.78127902619155","0.895147660354089","0.0300094051247781","0.00385237657424832","0.0561664336753079","0.116723301951271","0.0668925071899046","0.166554096712638","0.0150539496511311","-0.00359381389220605","0.0337017131944683","0","0","0","0.300500128793322","0.229675495814995","0.371324761771648","0.277359432750128","0.208619504394579","0.346099361105677","0.176767203939056","0.117823961124221","0.23571044675389","0.18796623288311","0.128056908575323","0.247875557190896","0.0574070016343846","0.0230790597134821","0.0917349435552872","0.0784633987073822","0.0380136016204007","0.118913195794364","0.0075132806037515","-0.00569549675124953","0.0207220579587525","0.88864231205926","0.841537234066823","0.935747390051697","0.0184243799383508","-0.000362960225960815","0.0372117201026624","0.00695662869125543","-0.00624245105724919","0.0201557084397601"
"H2","H2","0.414285714285714","0.347502420439975","0.481069008131454","0.20952380952381","0.154349610707779","0.264698008339841","0.304761904761905","0.242356519579284","0.367167289944525","0.0714285714285714","0.0365130454770546","0.106344097380088","0","0","0","0.59047619047619","0.52380845225621","0.657143928696171","0.3","0.237872397386998","0.362127602613002","0.0952380952380952","0.0554413594728442","0.135034831003346","0.0142857142857143","-0.00180226332974101","0.0303736919011696","0","0","0","0.0476190476190476","0.0187474609894543","0.0764906342486409","0.519047619047619","0.451310052748549","0.586785185346689","0.395238095238095","0.328955949408879","0.461520241067312","0.0380952380952381","0.0121429094959742","0.064047566694502","0","0","0","0.310344827586207","0.246546299229265","0.374143355943149","0.187192118226601","0.133401053733107","0.240983182720095","0.133004926108374","0.0861759583985754","0.179833893818173","0.354679802955665","0.288704975295474","0.420654630615856","0.0147783251231527","-0.0018616239800522","0.0314182742263576","0.361904761904762","0.296754697623247","0.427054826186277","0.323809523809524","0.260370822782037","0.38724822483701","0.20952380952381","0.154349610707779","0.264698008339841","0.104761904761905","0.0632429971654023","0.146280812358407","0","0","0","0.719047619047619","0.658112153611756","0.779983084483482","0.147619047619048","0.0995281353433556","0.19570995989474","0.104761904761905","0.0632429971654023","0.146280812358407","0.0238095238095238","0.00314061325075386","0.0444784343682938","0.00476190476190476","-0.00457125706923835","0.0140950665930479","0.00952380952380952","-0.00364365989966373","0.0226912789472828","0.0428571428571429","0.0153987612337769","0.0703155244805088","0.161904761904762","0.111964427550512","0.211845096259012","0.552380952380952","0.484967188644538","0.619794716117367","0.233333333333333","0.175992152620994","0.290674514045672","0.747619047619048","0.688728795415315","0.806509299822781","0.0857142857142857","0.0477615994711029","0.123666971957469","0.123809523809524","0.0791564624731698","0.168462585145878","0.0380952380952381","0.0121429094959742","0.064047566694502","0.00476190476190476","-0.00457125706923835","0.0140950665930479","0.580952380952381","0.514059961457417","0.647844800447345","0.380952380952381","0.315115033835015","0.446789728069747","0.0333333333333333","0.00899713746053025","0.0576695292061364","0.00476190476190476","-0.00457125706923835","0.0140950665930479","0","0","0","0.585714285714286","0.518930991868547","0.652497579560025","0.019047619047619","0.000515748446458346","0.0375794896487798","0.385714285714286","0.319722023258312","0.451706548170259","0.00952380952380952","-0.00364365989966372","0.0226912789472828","0","0","0"
"Khan Yunis","Khan Yunis","0.0934895238260333","0.0612472671191245","0.125731780532942","0.301792393816913","0.256718172903032","0.346866614730793","0.319141518824504","0.272198993747919","0.366084043901089","0.284286463708118","0.23863856652984","0.329934360886395","0.00129009982443206","-0.000546117102302864","0.00312631675116698","0.349560526553176","0.302920805388273","0.39620024771808","0.327975706320767","0.280300777656802","0.375650634984731","0.242475747944359","0.197290472123095","0.287661023765623","0.0713390190548144","0.0458242430486915","0.0968537950609374","0.00864900012688412","-0.000362600692675625","0.0176606009464439","0","0","0","0.126121089923018","0.0911058915617783","0.161136288284258","0.519689966691294","0.469271282967581","0.570108650415007","0.345355771218148","0.296971240076557","0.39374030235974","0.00883317216754025","-8.35477425769962e-05","0.0177498920776575","0.287402493611067","0.241184106163202","0.333620881058932","0.415166707574498","0.365573491284449","0.464759923864548","0.0466555642598857","0.0269428336636659","0.0663682948561054","0.244590519282503","0.200088281929191","0.289092756635816","0.00618471527204609","-0.00249126468495232","0.0148606952290445","0.064904805120002","0.037684793932327","0.0921248163076769","0.409553429955193","0.36095219627783","0.458154663632556","0.256557513840784","0.210602110104109","0.302512917577458","0.250531829298004","0.207182061000698","0.29388159759531","0.0184524217860175","0.00381277312009129","0.0330920704519438","0.340028336011274","0.292775510101746","0.387281161920802","0.145155843478391","0.108031170810202","0.18228051614658","0.277505487310423","0.232233547868061","0.322777426752785","0.148115073641559","0.112694208718634","0.183535938564484","0.0891952595583539","0.0610971882693138","0.117293330847394","0.00443152827457246","-0.00383733872160739","0.0127003952707523","0.0134105964332107","-0.000831571136872386","0.0276527640032937","0.0346680177520235","0.0155385894156416","0.0537974460884054","0.199394933528481","0.156249204756038","0.242540662300925","0.748094924011712","0.70148761349502","0.794702234528404","0.801868432436558","0.760122044838716","0.843614820034399","0.0514450960125548","0.0291817141794908","0.0737084778456187","0.130499482343317","0.0941969653692037","0.166801999317429","0.0146913901743935","0.00250642195394124","0.0268763583948457","0.00149559903317747","-0.000616996499640859","0.0036081945659958","0.201802406958234","0.159891743238786","0.243713070677681","0.304893815825854","0.25825492220889","0.351532709442818","0.141755934826642","0.107623381889739","0.175888487763545","0.194155979628474","0.154941663945263","0.233370295311685","0.157391862760796","0.121685052942594","0.193098672578998","0.154942734058547","0.127829468091769","0.182056000025325","0.0109044116767327","0.00170559210137577","0.0201032312520897","0.750720382333978","0.712144711157261","0.789296053510694","0.0821423721063107","0.0533497322661268","0.110935011946495","0.00129009982443206","-0.000546117102302864","0.00312631675116698"
